,,,,,,,,,10日,5日,10日,,,,,
最新价,今日涨跌,代码,,名称,,板块,5日涨跌,,10日涨跌,主力净占比,主力净占比,,,,,
f2,f3,f12,f13,f14,f62,f100,f109,f124,f160,f165,f175,f184,f225,f263,f264,f265
134.87,10,300841,0,康华生物,2791809,医药制造,91.66,1592551863,91.66,89.92,89.92,93.24,1,1,1,BK0465
25.28,10.01,300842,0,帝科股份,241145,材料行业,58.4,1592551863,58.4,47.15,47.15,87.2,2,3,3,BK0537
11.17,10.05,605166,1,聚合顺,556210,化工行业,58.44,1592552404,58.44,84.11,84.11,51.28,3,2,2,BK0538
8.51,43.99,300824,0,N北鼎,768300,家电行业,43.99,1592551863,43.99,46.5,46.5,46.5,4,4,4,BK0456
4.92,10.07,638,0,万方发展,7698865,软件服务,18.84,1592551863,18.55,19.88,12.46,38.56,5,8,12,BK0737
2.43,5.19,2076,0,*ST雪莱,9693240,电子元件,15.71,1592551863,32.79,5.18,4.19,36.55,6,226,161,BK0459
9.67,10.01,600318,1,新力金融,123443692,多元金融,6.38,1592552385,21.18,-1.15,0.82,36.45,7,1629,653,BK0738
5.74,9.96,600714,1,金瑞矿业,12176052,材料行业,14.8,1592552389,8.71,12.87,7.04,35.19,8,25,57,BK0537
4.88,9.91,2059,0,云南旅游,26681960,旅游酒店,5.63,1592551863,4.72,8.65,5.17,34.6,9,81,110,BK0485
9.63,5.71,989,0,九 芝 堂,93244069,医药制造,7.6,1592551863,3.1,3.75,-2.61,34.25,10,354,2048,BK0465
4.54,9.93,300272,0,开能健康,26463474,专用设备,13.5,1592551863,9.93,22.77,14.17,33.76,11,7,10,BK0910
12.28,10.04,2655,0,共达电声,103555935,电子元件,9.64,1592551863,0.9,7.23,-1.3,33.34,12,125,1400,BK0459
22.32,10,2845,0,同兴达,50030050,电子元件,10.66,1592551863,8.72,13.17,6.7,32.04,13,23,66,BK0459
21.54,10.01,2351,0,漫步者,463246651,电子信息,8.3,1592551863,0.09,2.95,-3.08,31.02,14,486,2268,BK0447
5.03,10.07,2565,0,顺灏股份,112380411,包装材料,12.53,1592551863,22.98,10.53,5.26,30.19,15,48,103,BK0733
9.22,10.02,300360,0,炬华科技,50655178,仪器仪表,13.55,1592551863,9.11,16.56,10.59,29.79,16,13,18,BK0458
6.02,10.05,417,0,合肥百货,32158026,商业百货,11.07,1592551863,20.88,1.77,2.16,29.27,17,713,380,BK0482
14.69,10.04,300171,0,东富龙,100993399,医疗行业,10.45,1592551863,9.46,3.38,0.52,28.12,18,412,738,BK0727
10.5,7.36,601881,1,中国银河,285403172,券商信托,8.47,1592552379,4.9,15.62,6.9,27.3,19,15,61,BK0473
14.14,10.04,2906,0,华阳集团,35810999,电子元件,10.56,1592551863,6.72,15.35,6.72,26.53,20,18,65,BK0459
12.06,9.24,601788,1,光大证券,330792442,券商信托,10.64,1592552382,8.36,16.39,10.02,26.25,21,14,20,BK0473
11.13,1.09,300495,0,美尚生态,157402658,园林工程,0,1592551863,2.96,24.86,22.47,25.96,22,5,5,BK0726
4.56,0.88,600308,1,华泰股份,17848087,造纸印刷,3.64,1592552385,2.47,8.84,3.31,25.45,23,77,223,BK0470
5.58,10.06,600415,1,小商品城,268088458,商业百货,2.2,1592552392,0.18,-1.3,-3.61,24.92,24,1685,2514,BK0482
37.07,10,601066,1,中信建投,1017494816,券商信托,12.2,1592552385,8.9,13.8,7.53,24.91,25,21,48,BK0473
12.95,10.03,990,0,诚志股份,62710884,化工行业,9.75,1592551863,6.58,11.28,4.45,24.76,26,40,147,BK0538
9.71,4.63,600624,1,复旦复华,94369527,综合行业,8.01,1592552392,3.52,10.28,1.61,24.56,27,53,471,BK0539
4.58,10.1,600828,1,茂业商业,28907771,商业百货,-0.22,1592552379,-8.95,3.59,-0.18,24.21,28,384,958,BK0482
5.37,2.09,702,0,正虹科技,10138541,农牧饲渔,4.88,1592551863,0.19,9.64,2.03,24.02,29,61,404,BK0433
4.91,10.09,691,0,亚太实业,14265588,房地产,10.84,1592551863,12.87,10.38,4.49,23.74,30,52,145,BK0451
