f2,f3,f12,f14,f62,f66,f69,f72,f75,f78,f81,f84,f87,f124,f184,f204,f205,f206
37.07,10.0,601066,中信建投,1017494816.0,1128416784.0,27.63,-110921968.0,-2.72,-527393296.0,-12.91,-490101520.0,-12.0,1592552385,24.91,-,-,-
23.85,3.34,600030,中信证券,936853472.0,1238730448.0,18.93,-301876976.0,-4.61,-459074240.0,-7.01,-477779232.0,-7.3,1592552389,14.31,-,-,-
165.57,4.55,000858,五 粮 液,763053616.0,729868608.0,11.51,33185008.0,0.52,-417515392.0,-6.58,-345538224.0,-5.45,1592551863,12.03,-,-,-
18.15,7.08,300059,东方财富,709505984.0,934954944.0,10.49,-225448960.0,-2.53,-413827424.0,-4.64,-295678544.0,-3.32,1592551863,7.96,-,-,-
165.9,4.37,300750,宁德时代,678261072.0,719356176.0,17.39,-41095104.0,-0.99,-424091840.0,-10.25,-254169216.0,-6.14,1592551863,16.39,-,-,-
18.83,3.12,601688,华泰证券,535129440.0,398835600.0,16.01,136293840.0,5.47,-268299872.0,-10.77,-266829552.0,-10.71,1592552392,21.48,-,-,-
21.54,10.01,002351,漫步者,463246651.0,423226459.0,28.34,40020192.0,2.68,-231121024.0,-15.48,-232125616.0,-15.54,1592551863,31.02,-,-,-
9.04,5.12,002385,大北农,386829757.0,411127789.0,15.71,-24298032.0,-0.93,-218729472.0,-8.36,-168100272.0,-6.42,1592551863,14.78,-,-,-
29.91,2.29,600887,伊利股份,354783088.0,329092384.0,10.37,25690704.0,0.81,-98043600.0,-3.09,-256739488.0,-8.09,1592552389,11.18,-,-,-
14.71,5.0,601990,南京证券,346300898.0,229411826.0,9.9,116889072.0,5.04,-111540976.0,-4.81,-234759904.0,-10.13,1592552385,14.94,-,-,-
12.06,9.24,601788,光大证券,330792442.0,324879834.0,25.79,5912608.0,0.47,-155573399.0,-12.35,-175219036.0,-13.91,1592552382,26.25,-,-,-
12.26,2.94,600837,海通证券,302903473.0,298669713.0,19.05,4233760.0,0.27,-159970640.0,-10.2,-142932816.0,-9.11,1592552388,19.32,-,-,-
10.5,7.36,601881,中国银河,285403172.0,261662340.0,25.03,23740832.0,2.27,-117152630.0,-11.21,-168250557.0,-16.09,1592552379,27.3,-,-,-
116.17,6.86,600745,闻泰科技,276543472.0,221306944.0,4.46,55236528.0,1.11,-156700208.0,-3.16,-119843248.0,-2.42,1592552400,5.58,-,-,-
125.25,4.39,300033,同花顺,273693476.0,294790804.0,13.2,-21097328.0,-0.94,-162550912.0,-7.28,-111142560.0,-4.98,1592551863,12.25,-,-,-
1439.84,1.9,600519,贵州茅台,270145744.0,240394576.0,4.29,29751168.0,0.53,-261848064.0,-4.67,-8297657.0,-0.15,1592552380,4.82,-,-,-
197.8,8.18,603501,韦尔股份,268949840.0,209555424.0,11.25,59394416.0,3.19,-127707712.0,-6.86,-141242112.0,-7.58,1592552389,14.44,-,-,-
5.58,10.06,600415,小商品城,268088458.0,327396285.0,30.43,-59307827.0,-5.51,-99477549.0,-9.25,-168610917.0,-15.67,1592552392,24.92,-,-,-
89.18,5.29,603259,药明康德,260901330.0,170371202.0,7.91,90530128.0,4.2,-150342672.0,-6.98,-110558672.0,-5.13,1592552400,12.11,-,-,-
59.77,3.32,000333,美的集团,247034393.0,208691289.0,10.85,38343104.0,1.99,-121075552.0,-6.29,-125958848.0,-6.55,1592551863,12.84,-,-,-
29.35,6.65,002074,国轩高科,219813680.0,189943744.0,8.48,29869936.0,1.33,-109886496.0,-4.91,-109927168.0,-4.91,1592551863,9.81,-,-,-
6.37,3.58,601162,天风证券,210330736.0,191739136.0,6.66,18591600.0,0.65,-84018896.0,-2.92,-126311840.0,-4.39,1592552380,7.31,-,-,-
294.35,5.22,300760,迈瑞医疗,204514336.0,127236992.0,4.71,77277344.0,2.86,-95840560.0,-3.55,-108673792.0,-4.03,1592551863,7.58,-,-,-
17.39,1.93,002456,欧菲光,203355952.0,171710144.0,4.67,31645808.0,0.86,-141602128.0,-3.85,-61753824.0,-1.68,1592551863,5.53,-,-,-
91.89,2.22,000568,泸州老窖,188779589.0,82825637.0,5.15,105953952.0,6.59,-73459648.0,-4.57,-115319936.0,-7.17,1592551863,11.74,-,-,-
11.19,3.8,600109,国金证券,187817648.0,154217792.0,8.58,33599856.0,1.87,-81698144.0,-4.54,-106119504.0,-5.9,1592552400,10.45,-,-,-
32.84,10.02,300073,当升科技,186946389.0,235278043.0,26.67,-48331654.0,-5.48,-110481220.0,-12.52,-76465159.0,-8.67,1592551863,21.19,-,-,-
